端点编号	水流到达时刻（分钟）
P0197	0.9306
P0198	3.1689
P0199	1.9093
P0200	9.5274
P0201	3.2521
P0202	5.8469
P0203	2.7730
P0204	6.2069
P0205	4.4817
P0206	3.7337
P0207	2.1836
P0208	6.5526
P0209	5.5752
P0210	6.8986
P0211	9.2685
P0212	12.9526
P0213	7.5895
P0214	16.5397
P0215	8.8513
P0216	17.4616
P0217	13.1880
P0218	18.0125
P0219	17.5962
P0220	28.1695
P0221	18.6951
P0222	20.0797
P0223	35.1172
P0224	40.4047
P0225	58.6363
P0226	68.3192
P0227	26.2510
P0228	66.5494
P0229	68.6300
P0230	70.6444
P0231	20.2315
P0232	65.0444
P0233	73.6720
P0234	57.3872
P0235	45.3688
P0236	226.9707
P0237	258.2493
P0238	302.4280
P0239	192.8196
P0240	267.6640
P0241	249.6390
P0242	377.6739
P0243	286.4710
P0244	437.5402
P0245	323.2073
P0246	456.3694
P0247	398.6502
P0248	475.9945
P0249	556.4745
P0250	49.7357
P0251	45.7231
P0252	36.8686
P0253	61.8774
P0254	32.9230
P0255	70.1637
P0256	24.1566
P0257	26.5777
P0258	18.1111
P0259	20.5065
P0260	15.1030
P0261	14.4763
P0262	11.9992
P0263	11.3824
P0264	8.9210
P0265	9.8433
P0266	7.3426
P0267	8.2662
P0268	6.1973
P0269	5.9758
P0270	5.4060
P0271	5.1847
P0272	4.7218
P0273	4.8423
P0274	3.7915
P0275	3.6665
P0276	1.9006
P0277	3.0026
P0278	1.3766
P0279	2.1729
P0280	3.8177
P0281	3.8430
P0282	4.9821
P0283	4.1351
P0284	5.9200
P0285	4.6040
P0286	5.3998
P0287	6.7183
P0288	7.4814
P0289	19.9159
P0290	7.6955
P0291	8.8696
P0292	8.2640
P0293	11.2324
P0294	10.0511
P0295	11.8150
P0296	10.8279
P0297	14.1567
P0298	17.0639
P0299	17.4341
P0300	23.3278
P0301	19.0062
P0302	26.4815
P0303	31.3530
P0304	25.1620
P0305	34.7698
P0306	32.5554
P0307	33.5797
P0308	38.8636
P0309	52.1709
P0310	40.1856
P0311	16.1663
P0312	29.6032
P0313	15.6609
P0314	45.6455
P0315	30.5452
P0316	4.8009
P0317	2.3739
P0318	2.7600
P0319	0.3039
P0320	0.1507
P0321	0.7079
P0322	1.5168
P0323	3.6058
P0324	0.5853
P0325	0.0733
P0326	0.2785
P0327	0.0601
P0328	0.1367
P0329	0.4265
P0330	0.0791
P0331	0.1846
P0332	0.0129
P0333	0.1314
P0334	0.1845
P0335	2.2926
P0336	1.2196
P0337	1.0479
P0338	0.5731
P0339	1.4386
P0340	2.0761
P0341	6.9365
P0342	2.4708
P0343	0.0242
P0344	0.0180
P0345	0.0144
P0346	0.0098
P0347	0.0084
P0348	0.0068
P0349	0.0027
P0350	0.0044
P0351	0.0001
P0352	0.0017
P0353	0.0162
P0354	0.0290
P0355	0.0414
P0356	0.0541
P0357	0.0015
P0358	0.0000
P0359	4.2773
P0360	5.4020
P0361	5.8489
P0362	5.6895
P0363	3.0001
P0364	6.0310
P0365	3.9650
P0366	3.3418
P0367	2.3657
P0368	0.4384
P0369	1.0836
P0370	0.2163
P0371	20.1526
P0372	17.8190
P0373	46.5901
P0374	78.9415
P0375	207.8087
P0376	156.1087
P0377	310.1767
P0378	205.9540
P0379	108.7357
P0380	88.1070
P0381	270.4394
P0382	229.1881
P0383	202.1854
P0384	264.1591
P0385	18.7027
P0386	39.9007
P0387	20.7971
P0388	8.9052
P0389	7.6032
P0390	147.2623
P0391	109.6823
P0392	108.2136
P0393	196.1381
P0394	129.7513
P0395	86.0518
P0396	147.5236
P0397	631.7987
P0398	889.7037
P0399	1118.5740
P0400	963.5519
P0401	289.8111
P0402	301.1829
P0403	286.0624
P0404	282.6280
P0405	5314.7127
P0406	189.9041
P0407	326.2118
P0408	90.2588
P0409	145.0910
P0410	71.5999
P0411	70.1850
P0412	66.0620
P0413	59.0063
P0414	60.5172
P0415	53.5271
P0416	1.2800
P0417	2.8975
P0418	12.9134
P0419	19.6502
P0420	15.7372
P0421	24.1173
P0422	0.0043
P0423	0.0045
P0424	0.0047
P0425	0.0042
P0426	0.0052
P0427	0.0041
P0428	0.0062
P0429	0.0066
P0430	10.8774
P0431	0.0092
P0432	0.0083
P0433	0.0304
P0434	0.0212
P0435	0.0339
P0436	0.0252
P0437	0.0350
P0438	0.0296
P0439	0.0359
P0440	0.0365
P0441	0.0485
P0442	0.0607
P0443	0.0939
P0444	0.0688
P0445	0.0637
P0446	0.0701
P0447	0.0997
P0448	0.0786
P0449	0.1338
P0450	0.0957
P0451	0.1680
P0452	0.1213
P0453	0.1800
P0454	0.1497
P0455	0.1836
P0456	0.3929
P0457	0.2247
P0458	0.4749
P0459	562.8939
P0460	582.3853
P0461	893.9937
P0462	525.2688
P0463	507.1577
P0464	542.8611
P0465	1387.6316
P0466	1961.0464
P0467	142.8631
P0468	123.2097
P0469	87.0677
P0470	95.2676
P0471	48.8497
P0472	49.2420
P0473	55.0690
P0474	50.7946
P0475	8.4479
P0476	17.1881
P0477	10.7653
P0478	7.7518
P0479	18.3457
P0480	16.4920
P0481	17.6882
P0482	20.0714
P0483	28.8822
P0484	21.4724
P0485	40.0107
P0486	24.2594
P0487	49.5541
P0488	29.0322
P0489	64.2465
P0490	110.2859
P0491	588.1597
P0492	409.1540
P0493	389.1063
P0494	359.3892
P0495	436.8951
P0496	4.3029
P0497	256.2872
P0498	342.7958
P0499	707.9167
P0500	691.8698
P0501	581.2183
P0502	677.5339
P0503	630.7778
P0504	661.2808
P0505	571.2630
P0506	615.0448
P0507	445.8273
P0508	466.9970
P0509	228.4580
P0510	198.6919
P0511	0.0249
P0512	275.1873
P0513	183.8725
P0514	267.7814
P0515	140.7619
P0516	118.6238
P0517	100.9584
P0518	77.1957
P0519	86.2311
P0520	73.5157
P0521	7.0692
P0522	15.1285
P0523	6.7192
P0524	15.8865
P0525	5.4058
P0526	8.1127
P0527	6.3755
P0528	4.0316
P0529	0.6882
P0530	48.8510
P0531	14.3726
P0532	174.7708
P0533	231.5169
P0534	149.0892
P0535	180.1624
P0536	137.0063
P0537	107.2491
P0538	104.5653
P0539	80.1277
P0540	77.8825
P0541	66.8597
P0542	50.1400
P0543	59.8952
P0544	12.4669
P0545	21.0446
P0546	21.0062
P0547	23.7286
P0548	21.5850
P0549	13.9886
P0550	99.3201
P0551	79.3185
P0552	2.6024
P0553	4.7828
P0554	6.6374
P0555	2.1545
P0556	212.2735
P0557	249.6493
P0558	217.5653
P0559	161.9692
P0560	1060.4967
P0561	1.7502
P0562	1.4916
P0563	204.9756
P0564	0.9028
P0565	8.9576
P0566	3.6988
P0567	8.2873
P0568	8.6038
P0569	8.9790
P0570	9.4742
P0571	62.5339
P0572	57.5526
P0573	89.8063
P0574	41.5970
P0575	112.1709
P0576	177.3213
P0577	134.3178
P0578	188.4289
P0579	170.5718
P0580	197.4313
P0581	467.8399
P0582	235.8520
P0583	529.6742
P0584	272.2015
P0585	674.5463
P0586	494.2509
P0587	776.3034
P0588	827.5678
P0589	119.3318
P0590	183.5513
P0591	113.7769
P0592	135.6740
P0593	112.3477
P0594	687.7018
P0595	1605.4269
P0596	62.1159
P0597	2.6215
P0598	2.2953
P0599	2.9574
P0600	23.3028
P0601	17.0162
P0602	13.9892
P0603	3.6828
P0604	2.1953
P0605	2.4966
P0606	2.0880
P0607	2.5852
P0608	0.3104
P0609	0.6702
P0610	0.1178
P0611	0.6070
P0612	0.2203
P0613	0.0660
P0614	0.0506
P0615	0.0945
P0616	0.6621
P0617	1.5221
P0618	2.4325
P0619	3.2118
P0620	4.2012
P0621	3.4576
P0622	0.7094
P0623	0.0315
P0624	0.9362
P0625	1.4655
P0626	1.5687
P0627	0.1770
P0628	2.4091
P0629	1.4335
P0630	4.6625
P0631	10.2912
P0632	0.0220
P0633	10.0312
P0634	4.9496
P0635	61.2593
P0636	73.5488
P0637	63.1984
P0638	4.6957
P0639	3.7925
P0640	2.3053
P0641	1.9695
P0642	13.1882
P0643	13.6520
P0644	15.5292
P0645	12.1586
P0646	51.5993
P0647	47.2531
P0648	2.4506
P0649	51.3222
P0650	0.0840
P0651	0.0413
P0652	0.3439
P0653	0.1927
P0654	0.7579
P0655	1.8079
P0656	0.2404
P0657	0.0613
P0658	0.0818
P0659	0.0017
P0660	0.0001
P0661	0.0031
P0662	0.0012
