ÏïµÀ±àºÅ	ÏïµÀ³äÂúË®Ê±¿Ì£¨·ÖÖÓ£©
H0351	
H0352	
H0353	
H0354	
H0355	
H0356	
H0357	
H0358	
H0359	
H0360	
H0361	
H0362	
H0363	
H0364	
H0365	
H0366	
H0367	
H0368	1013.7885
H0369	
H0370	
H0371	8686.9712
H0372	1566.0352
H0373	
H0374	
H0375	
H0376	
H0377	
H0378	
H0379	
H0380	
H0381	
H0382	
H0383	
H0384	
H0385	
H0386	
H0387	
H0388	
H0389	
H0390	
H0391	
H0392	
H0393	
H0394	
H0395	472.5018
H0396	472.5602
H0397	
H0398	
H0399	
H0400	
H0401	
H0402	
H0403	
H0404	
H0405	
H0406	
H0407	
H0408	
H0409	
H0410	
H0411	
H0412	64497.2389
H0413	271581.9988
H0414	
H0415	
H0416	
H0417	
H0418	
H0419	
H0420	
H0421	
H0422	
H0423	
H0424	
H0425	
H0426	
H0427	
H0428	19801260.4058
H0429	
H0430	4967203.5075
H0431	
H0432	4268586.8352
H0433	
H0434	
H0435	
H0436	
H0437	
H0438	
H0439	
H0440	
H0441	3239291.5956
H0442	
H0443	
H0444	6907089.3525
H0445	
H0446	
H0447	
H0448	
H0449	
H0450	
H0451	
H0452	
H0453	
H0454	
H0455	
H0456	
H0457	
H0458	
H0459	
H0460	
H0461	
H0462	
H0463	
H0464	
H0465	
H0466	
H0467	
H0468	
H0469	
H0470	
H0471	
H0472	
H0473	81367891.0709
H0474	
H0475	
H0476	
H0477	
H0478	
H0479	
H0480	
H0481	
H0482	
H0483	
H0484	
H0485	
H0486	31309.0193
H0487	
H0488	
H0489	
H0490	
H0491	318682.6108
H0492	
H0493	148822.4464
H0494	
H0495	
H0496	
H0497	
H0498	
H0499	
H0500	
H0501	
H0502	
H0503	
H0504	
H0505	
H0506	
H0507	
H0508	
H0509	
H0510	
H0511	
H0512	
H0513	
H0514	
H0515	
H0516	
H0517	
H0518	
H0519	
H0520	
H0521	472.5544
H0522	
H0523	
H0524	
H0525	
H0526	
H0527	
H0528	
H0529	
H0530	
H0531	
H0532	
H0533	
H0534	
H0535	
H0536	
H0537	
H0538	
H0539	
H0540	
H0541	
H0542	
H0543	
H0544	
H0545	
H0546	
H0547	
H0548	
H0549	17566007.1586
H0550	
H0551	
H0552	189383260.6261
H0553	169543860.7920
H0554	
H0555	
H0556	
H0557	8916513.2764
H0558	11233517.8586
H0559	
H0560	
H0561	
H0562	
H0563	
H0564	
H0565	
H0566	
H0567	
H0568	
H0569	
H0570	
H0571	
H0572	
H0573	
H0574	
H0575	
H0576	
H0577	
H0578	
H0579	
H0580	
H0581	
H0582	
H0583	
H0584	
H0585	
H0586	
H0587	
H0588	
H0589	
H0590	
H0591	
H0592	
H0593	
H0594	
H0595	
H0596	
H0597	
H0598	
H0599	
H0600	
H0601	
H0602	
H0603	38929.3227
H0604	
H0605	
H0606	
H0607	
H0608	
H0609	
H0610	
H0611	31613547.6290
H0612	35365955.7191
H0613	
H0614	
H0615	
H0616	
H0617	
H0618	
H0619	
H0620	
H0621	
H0622	
H0623	
H0624	
H0625	
H0626	
H0627	
H0628	
H0629	
H0630	
H0631	
H0632	
H0633	
H0634	
H0635	
H0636	
H0637	
H0638	
H0639	
H0640	
H0641	
H0642	
H0643	
H0644	
H0645	
H0646	
H0647	
H0648	
H0649	
H0650	
H0651	
H0652	
H0653	
H0654	
H0655	
H0656	
H0657	
H0658	
H0659	2607230.4240
H0660	326404.0773
H0661	1903624.5869
H0662	
H0663	
H0664	
H0665	
H0666	
H0667	
H0668	
H0669	
H0670	
H0671	
H0672	
H0673	
H0674	
H0675	
H0676	
H0677	
H0678	
H0679	
H0680	
H0681	
H0682	
H0683	
H0684	
H0685	
H0686	
H0687	
H0688	
H0689	
H0690	
H0691	
H0692	
H0693	
H0694	
H0695	
H0696	
H0697	
H0698	
H0699	
H0700	
H0701	
H0702	
H0703	
H0704	
H0705	
H0706	
H0707	
H0708	
H0709	274507.0731
H0710	459637.2991
H0711	887528.8442
H0712	
H0713	
H0714	
H0715	
H0716	
H0717	
H0718	
H0719	
H0720	
H0721	
H0722	
H0723	
H0724	
H0725	
H0726	
H0727	
H0728	
H0729	
H0730	
H0731	
H0732	
H0733	
H0734	
H0735	
H0736	10074085.3319
H0737	
H0738	19328507.2682
H0739	
H0740	
H0741	
H0742	
H0743	
H0744	6339106.9781
H0745	
H0746	
H0747	
H0748	
H0749	
H0750	
H0751	
H0752	
H0753	
H0754	
H0755	
H0756	
H0757	
H0758	881107.1410
H0759	
H0760	
H0761	
H0762	
H0763	
H0764	
H0765	
H0766	
H0767	
H0768	
H0769	
H0770	
H0771	
H0772	
H0773	
H0774	
H0775	
H0776	
H0777	
H0778	
H0779	
H0780	
H0781	
H0782	
H0783	61293786.1765
H0784	17972968.4815
H0785	10919355.1351
H0786	24971432.0745
H0787	
H0788	
H0789	
H0790	
H0791	
H0792	
H0793	
H0794	
H0795	
H0796	
H0797	
H0798	
H0799	183668760.0199
H0800	14230446.7637
H0801	
H0802	
H0803	
H0804	
H0805	
H0806	183307.0200
H0807	312779.5045
H0808	
H0809	
H0810	
H0811	
H0812	
H0813	
H0814	610942.2724
H0815	42994.3119
H0816	
H0817	13215.5081
H0818	
H0819	
H0820	
H0821	
H0822	
H0823	
H0824	
H0825	
H0826	
H0827	
H0828	
H0829	
H0830	
H0831	
H0832	3077.8648
H0833	5392.2668
H0834	
H0835	
H0836	
H0837	
H0838	
H0839	
H0840	
H0841	
H0842	
H0843	
H0844	
H0845	
H0846	
H0847	
H0848	
H0849	
H0850	
H0851	
H0852	
H0853	
H0854	81650.6779
H0855	
H0856	
H0857	
H0858	
H0859	
H0860	
H0861	
H0862	24983.8632
H0863	
H0864	
H0865	
H0866	196200.4388
H0867	
H0868	
H0869	
H0870	
H0871	138942.1709
H0872	164553.1642
H0873	
H0874	
H0875	
H0876	
H0877	
H0878	
H0879	
H0880	
H0881	
H0882	
H0883	
H0884	
H0885	178277.8704
H0886	
H0887	158207.6880
H0888	60975.9997
H0889	
H0890	84376.4014
H0891	31636.3991
H0892	
H0893	
H0894	
H0895	
H0896	
H0897	
H0898	
H0899	
H0900	
H0901	
H0902	
H0903	
H0904	
H0905	
H0906	
H0907	
H0908	
H0909	
H0910	
H0911	
H0912	
H0913	
H0914	
H0915	
H0916	
H0917	
H0918	
H0919	
H0920	
H0921	
H0922	
H0923	3009.3190
H0924	
H0925	
H0926	
H0927	
H0928	
H0929	
H0930	
H0931	
H0932	
H0933	
H0934	
H0935	
H0936	
H0937	
H0938	
H0939	
H0940	
H0941	
H0942	699.8625
H0943	
H0944	
H0945	
H0946	
H0947	
H0948	
H0949	812.0894
H0950	963.9280
H0951	
H0952	
H0953	
H0954	
H0955	
H0956	
H0957	4737488.8580
H0958	
H0959	
H0960	
H0961	
H0962	
H0963	
H0964	
H0965	
H0966	
H0967	
H0968	
H0969	
H0970	
H0971	
H0972	
H0973	
H0974	
H0975	
H0976	267314.3383
